Softwarename	Publisher	LatUpdate	PCname
Samanage Agent	Samanage	20/11/2018	SRVDB52
SAP Crystal Reports runtime engine for .NET Framework 4 (32-bit)	SAP	21/11/2018	LEARN200
Security Update for Microsoft .NET Framework 4 Client Profile (KB2604121)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2656351)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2729449)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2736428)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2737019)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2742595)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2789642)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2804576)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2835393)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2840628)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2840628v2)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2858302v2)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2894842v2)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2898855v2)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2901110v2)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2931365)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2972106)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2972215)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2978125)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB2979575v2)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB3023221)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB3032662)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Client Profile (KB3037578)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Extended (KB2487367)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Extended (KB2656351)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Extended (KB2736428)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Extended (KB2742595)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Extended (KB2858302v2)	Microsoft Corporation	21/11/2018	LEARN212
